Test Date,Load Type,Source Table Name,Target Table Name,Source Count,Target Count,Verdict
2017-05-23,Full,CoverageDim,CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914,2501464,440384,Fail
2017-05-23,Full,DateDim,DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539,50267,50267,Pass
2017-05-23,Full,DiagnosisBridge,DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180,12201850,12201850,Pass
2017-05-23,Full,DiagnosisDim,DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306,1388698,1388698,Pass
2017-05-23,Full,DiagnosisEventFact,DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431,33033207,23676910,Fail
2017-05-23,Full,DiagnosisProfileDim,DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564,23,23,Pass
2017-05-23,Full,DiagnosisSetDim,DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611,13837405,13837405,Pass
2017-05-23,Full,DiagnosisTerminologyDim,DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050,48720480,48720480,Pass
2017-05-23,Full,DischargeProfileDim,DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776,46,46,Pass
2017-05-23,Full,DrgDim,DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573,14272,14272,Pass
2017-05-23,Full,EdVisitAttributeValueDim,EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183,1069383,1019363,Fail
2017-05-23,Full,EdVisitProfileDim,EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106,16787,16787,Pass
2017-05-23,Full,EncounterAttributeValueDim,EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997,16293356,12391954,Fail
2017-05-23,Full,EncounterFact,EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001,32724732,25024751,Fail
2017-05-23,Full,EncounterProfileDim,EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469,275,275,Pass
2017-05-23,Full,EvsFact,EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329,47917,44873,Fail
2017-05-23,Full,EvsProfileDim,EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298,54,54,Pass
2017-05-23,Full,EvsStageOneProfileDim,EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704,26,26,Pass
2017-05-23,Full,FlowsheetRowDim,FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079,41012,41012,Pass
2017-05-23,Full,FlowsheetValueProfileDim,FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048,4,4,Pass
2017-05-23,Full,HospitalAdmissionAttributeValueDim,HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157,397202,397202,Pass
2017-05-23,Full,HospitalAdmissionFact,HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720,194692,181392,Fail
2017-05-23,Full,HospitalAdmissionProfileDim,HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907,786,786,Pass
2017-05-23,Full,ImmunizationDim,ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485,102,102,Pass
2017-05-23,Full,ImmunizationEventFact,ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970,3061873,569019,Fail
2017-05-23,Full,ImmunizationProfileDim,ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110,123733,123733,Pass
2017-05-23,Full,ImmunizationSetDim,ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907,136,136,Pass
2017-05-23,Full,LabComponentResultFact,LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485,79402343,62954543,Fail
2017-05-23,Full,LabComponentResultProfileDim,LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944,82,82,Pass
2017-05-23,Full,LabDim,LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225,157,157,Pass
2017-05-23,Full,MedicationAdministrationFact,MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913,17534660,16935639,Fail
2017-05-23,Full,MedicationAdministrationProfileDim,MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821,42942,42942,Pass
2017-05-23,Full,MedicationDispenseNdcProfileDim,MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059,38625,38625,Pass
2017-05-23,Full,MedicationDispenseProfileDim,MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434,178,178,Pass
2017-05-23,Full,MedicationDispenseQuantityProfileDim,MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622,667,667,Pass
2017-05-23,Full,MedicationOrderFact,MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137,12595131,11228611,Fail
2017-05-23,Full,MedicationOrderIndicationForUseProfileDim,MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828,527,527,Pass
2017-05-23,Full,MedicationOrderProfileDim,MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955,29890,29890,Pass
2017-05-23,Full,MedicationOrderSourceProfileDim,MedicationOrderSourceProfileDim_CHCO_CDW_20170518103344598_19000101000000000_20170518103344598,3738,3738,Pass
2017-05-23,Full,MedicationOrderTypeProfileDim,MedicationOrderTypeProfileDim_CHCO_CDW_20170518103348255_19000101000000000_20170518103348255,62,62,Pass
2017-05-23,Full,ModifierBridge,ModifierBridge_CHCO_CDW_20170518103425642_19000101000000000_20170518103425642,184,184,Pass
2017-05-23,Full,PatientAttributeValueDim,PatientAttributeValueDim_CHCO_CDW_20170518103436598_19000101000000000_20170518103436598,10321895,9462361,Fail
2017-05-23,Full,PatientDim,PatientDim_CHCO_CDW_20170518105412091_19000101000000000_20170518105412091,2787750,2491382,Fail
2017-05-23,Full,PatientLocationEventFact,PatientLocationEventFact_CHCO_CDW_20170518111355717_19000101000000000_20170518111355717,3292765,3254915,Fail
2017-05-23,Full,PatientLocationEventProfileDim,PatientLocationEventProfileDim_CHCO_CDW_20170518112912749_19000101000000000_20170518112912749,6,6,Pass
2017-05-23,Full,PatientRegistryProfileDim,PatientRegistryProfileDim_CHCO_CDW_20170518112916483_19000101000000000_20170518112916483,14,14,Pass
2017-05-23,Full,PharmacyDim,PharmacyDim_CHCO_CDW_20170519030849771_19000101000000000_20170519030849771,86669,86669,Pass
2017-05-23,Full,PlaceOfServiceDim,PlaceOfServiceDim_CHCO_CDW_20170519030913646_19000101000000000_20170519030913646,191,191,Pass
2017-05-23,Full,ProcedureDim,ProcedureDim_CHCO_CDW_20170519030917333_19000101000000000_20170519030917333,347202,341512,Fail
2017-05-23,Full,ProcedureOrderProfileDim,ProcedureOrderProfileDim_CHCO_CDW_20170519035737694_19000101000000000_20170519035737694,32902,32902,Pass
2017-05-23,Full,ProcedureTerminologyBridge,ProcedureTerminologyBridge_CHCO_CDW_20170519035755163_19000101000000000_20170519035755163,4,4,Pass
2017-05-23,Full,ProcedureTerminologyDim,ProcedureTerminologyDim_CHCO_CDW_20170519035758726_19000101000000000_20170519035758726,89045,89045,Pass
2017-05-23,Full,ProcedureTerminologySetDim,ProcedureTerminologySetDim_CHCO_CDW_20170519035812757_19000101000000000_20170519035812757,41713,41713,Pass
2017-05-23,Full,ProviderDim,ProviderDim_CHCO_CDW_20170519035821882_19000101000000000_20170519035821882,300825,300825,Pass
2017-05-23,Full,ReferralStatusProfileDim,ReferralStatusProfileDim_CHCO_CDW_20170519042546133_19000101000000000_20170519042546133,455,455,Pass
2017-05-23,Full,ResourceDim,ResourceDim_CHCO_CDW_20170519042553476_19000101000000000_20170519042553476,1946,1946,Pass
2017-05-23,Full,SurgicalCaseFact,SurgicalCaseFact_CHCO_CDW_20170519042601773_19000101000000000_20170519042601773,232287,1018,Fail
2017-05-23,Full,SurgicalCaseProfileDim,SurgicalCaseProfileDim_CHCO_CDW_20170519042610836_19000101000000000_20170519042610836,10266,10266,Pass
2017-05-23,Full,SurgicalProcedureEventFact,SurgicalProcedureEventFact_CHCO_CDW_20170519042615164_19000101000000000_20170519042615164,296706,2305,Fail
2017-05-23,Full,SurgicalSupplyUseProfileDim,SurgicalSupplyUseProfileDim_CHCO_CDW_20170519042939352_19000101000000000_20170519042939352,27,27,Pass
2017-05-23,Full,SurveyAnswerFact,SurveyAnswerFact_CHCO_CDW_20170519042942852_19000101000000000_20170519042942852,3,3,Pass
2017-05-23,Full,TimeOfDayDim,TimeOfDayDim_CHCO_CDW_20170519042946461_19000101000000000_20170519042946461,1443,1443,Pass
2017-05-23,Full,TransportProfileDim,TransportProfileDim_CHCO_CDW_20170519043029164_19000101000000000_20170519043029164,1429,1429,Pass
2017-05-23,Full,VisitFact,VisitFact_CHCO_CDW_20170519044943352_19000101000000000_20170519044943352,11418274,10489549,Fail
2017-05-23,Full,VisitProfileDim,VisitProfileDim_CHCO_CDW_20170519054608135_19000101000000000_20170519054608135,19549,19549,Pass
