Name,Description,Project,TestFolder,WorkProduct,Type,Priority,Method,Risk,PreConditions,PostConditions,ValidationInput,ValidationExpectedResult
Rowcount validation of CHCO source and GBQ target BillingAccountProfileDim table,Rowcount validation of BillingAccountProfileDim and BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingAccountServiceProfileDim table,Rowcount validation of BillingAccountServiceProfileDim and BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingAccountStatusProfileDim table,Rowcount validation of BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingProcedureDim table,Rowcount validation of BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingProcedureSetDim table,Rowcount validation of BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingTransactionChargeProfileDim table,Rowcount validation of BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target BillingTransactionProfileDim table,Rowcount validation of BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CareAreaDim table,Rowcount validation of CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CareTeamFact table,Rowcount validation of CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CareTeamProfileDim table,Rowcount validation of CareTeamProfileDim and CareTeamProfileDim_CHCO_CDW_20170517145821913_19000101000000000_20170517145821913 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target ChiefComplaintBridge table,Rowcount validation of ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target ChiefComplaintDim table,Rowcount validation of ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target ChiefComplaintSetDim table,Rowcount validation of ChiefComplaintSetDim and ChiefComplaintSetDim_CHCO_CDW_20170517145924648_19000101000000000_20170517145924648 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CodedProcedureFact table,Rowcount validation of CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CodedProcedureProfileDim table,Rowcount validation of CodedProcedureProfileDim and CodedProcedureProfileDim_CHCO_CDW_20170517152010804_19000101000000000_20170517152010804 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target ContractBridge table,Rowcount validation of ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CostCenterDim table,Rowcount validation of CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target CoverageDim table,Rowcount validation of CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DateDim table,Rowcount validation of DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DepartmentDim table,Rowcount validation of DepartmentDim and DepartmentDim_CHCO_CDW_20170517152817414_19000101000000000_20170517152817414 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DiagnosisBridge table,Rowcount validation of DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DiagnosisDim table,Rowcount validation of DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DiagnosisEventFact table,Rowcount validation of DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CHCO source and GBQ target DiagnosisProfileDim table,Rowcount validation of DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 table,HDC-GCP,row_count_validation,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
