Name,Description,Project,TestFolder,WorkProduct,Type,Priority,Method,Risk,PreConditions,PostConditions,ValidationInput,ValidationExpectedResult
Rowcount validation of BillingAccountProfileDim and BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084 tables,Rowcount validation of BillingAccountProfileDim and BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingAccountServiceProfileDim and BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318 tables,Rowcount validation of BillingAccountServiceProfileDim and BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 tables,Rowcount validation of BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 tables,Rowcount validation of BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 tables,Rowcount validation of BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 tables,Rowcount validation of BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 tables,Rowcount validation of BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 tables,Rowcount validation of CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 tables,Rowcount validation of CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 tables,Rowcount validation of ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 tables,Rowcount validation of ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 tables,Rowcount validation of CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 tables,Rowcount validation of ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 tables,Rowcount validation of CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 tables,Rowcount validation of CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 tables,Rowcount validation of DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 tables,Rowcount validation of DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 tables,Rowcount validation of DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 tables,Rowcount validation of DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 tables,Rowcount validation of DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
Rowcount validation of DiagnosisSetDim and DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611 tables,Rowcount validation of DiagnosisSetDim and DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611 tables,HDC-GCP,ChcoRowcountTestSet,,Regression,Important,Automated,High,"<ol><li>Tester should be logged into GBQ through the VPN, have focus on the hdc-main-dev project, and have a new query window open.</li><li>Current data should be loaded into GBQ CHCO tables in raw_chco dataset.</li></ol>",,<ol><li>Enter and run Query 1 from the post-condition section of this test case into the GBQ new query window.</li><li>Enter and run Query 2 from the post-condition section of this test case into the GBQ new query window.</li><li>Compare the result obtained from running Query 1 to the result obtained from running Query 2.</li></ol>,<ol><li>Query will return a count of all records from the source table. Temporarily document this result.</li><li>Query will return a count of all records from the target table. Temporarily document this result.</li><li>Both results will be equal.</li></ol>
