Build,Date,Notes,TestCase,Verdict
21.1,2017-05-23,"Full Load:
Row counts are equal between BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 tables.

BillingAccountStatusProfileDim: 303
BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912: 303",Rowcount validation of BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 tables.

BillingProcedureDim: 149544
BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318: 145943",Rowcount validation of BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 tables.

BillingProcedureSetDim: 12678
BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943: 11852",Rowcount validation of BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 tables.

BillingTransactionChargeProfileDim: 155835
BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193: 155835",Rowcount validation of BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 tables.

BillingTransactionProfileDim: 2222
BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365: 2222",Rowcount validation of BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 tables.

CareAreaDim: 120
CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803: 120",Rowcount validation of CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 tables.

CareTeamFact: 7426628
CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756: 6097745",Rowcount validation of CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 tables.

ChiefComplaintBridge: 455103
ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366: 455103",Rowcount validation of ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 tables.

ChiefComplaintDim: 2884
ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257: 2884",Rowcount validation of ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 tables.

CodedProcedureFact: 4585029
CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445: 4585029",Rowcount validation of CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 tables.

ContractBridge: 4
ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273: 4",Rowcount validation of ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 tables.

CostCenterDim: 513
CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461: 513",Rowcount validation of CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 tables.

CoverageDim: 2501464
CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914: 440384",Rowcount validation of CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 tables.

DateDim: 50267
DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539: 50267",Rowcount validation of DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 tables.

DiagnosisBridge: 12201850
DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180: 12201850",Rowcount validation of DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 tables.

DiagnosisDim: 1388698
DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306: 1388698",Rowcount validation of DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 tables.

DiagnosisEventFact: 33033207
DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431: 23676910",Rowcount validation of DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 tables.

DiagnosisProfileDim: 23
DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564: 23",Rowcount validation of DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DiagnosisSetDim and DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611 tables.

DiagnosisSetDim: 13837405
DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611: 13837405",Rowcount validation of DiagnosisSetDim and DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DiagnosisTerminologyDim and DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050 tables.

DiagnosisTerminologyDim: 48720480
DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050: 48720480",Rowcount validation of DiagnosisTerminologyDim and DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DischargeProfileDim and DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776 tables.

DischargeProfileDim: 46
DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776: 46",Rowcount validation of DischargeProfileDim and DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between DrgDim and DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573 tables.

DrgDim: 14272
DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573: 14272",Rowcount validation of DrgDim and DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between EdVisitAttributeValueDim and EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183 tables.

EdVisitAttributeValueDim: 1069383
EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183: 1019363",Rowcount validation of EdVisitAttributeValueDim and EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between EdVisitProfileDim and EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106 tables.

EdVisitProfileDim: 16787
EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106: 16787",Rowcount validation of EdVisitProfileDim and EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between EncounterAttributeValueDim and EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997 tables.

EncounterAttributeValueDim: 16293356
EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997: 12391954",Rowcount validation of EncounterAttributeValueDim and EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are not equal between EncounterFact and EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001 tables.

EncounterFact: 32724732
EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001: 25024751",Rowcount validation of EncounterFact and EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between EncounterProfileDim and EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469 tables.

EncounterProfileDim: 275
EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469: 275",Rowcount validation of EncounterProfileDim and EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between EvsFact and EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329 tables.

EvsFact: 47917
EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329: 44873",Rowcount validation of EvsFact and EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between EvsProfileDim and EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298 tables.

EvsProfileDim: 54
EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298: 54",Rowcount validation of EvsProfileDim and EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between EvsStageOneProfileDim and EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704 tables.

EvsStageOneProfileDim: 26
EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704: 26",Rowcount validation of EvsStageOneProfileDim and EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between FlowsheetRowDim and FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079 tables.

FlowsheetRowDim: 41012
FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079: 41012",Rowcount validation of FlowsheetRowDim and FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between FlowsheetValueProfileDim and FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048 tables.

FlowsheetValueProfileDim: 4
FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048: 4",Rowcount validation of FlowsheetValueProfileDim and FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between HospitalAdmissionAttributeValueDim and HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157 tables.

HospitalAdmissionAttributeValueDim: 397202
HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157: 397202",Rowcount validation of HospitalAdmissionAttributeValueDim and HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between HospitalAdmissionFact and HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720 tables.

HospitalAdmissionFact: 194692
HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720: 181392",Rowcount validation of HospitalAdmissionFact and HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between HospitalAdmissionProfileDim and HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907 tables.

HospitalAdmissionProfileDim: 786
HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907: 786",Rowcount validation of HospitalAdmissionProfileDim and HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between ImmunizationDim and ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485 tables.

ImmunizationDim: 102
ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485: 102",Rowcount validation of ImmunizationDim and ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between ImmunizationEventFact and ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970 tables.

ImmunizationEventFact: 3061873
ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970: 569019",Rowcount validation of ImmunizationEventFact and ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between ImmunizationProfileDim and ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110 tables.

ImmunizationProfileDim: 123733
ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110: 123733",Rowcount validation of ImmunizationProfileDim and ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between ImmunizationSetDim and ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907 tables.

ImmunizationSetDim: 136
ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907: 136",Rowcount validation of ImmunizationSetDim and ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between LabComponentResultFact and LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485 tables.

LabComponentResultFact: 79402343
LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485: 62954543",Rowcount validation of LabComponentResultFact and LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between LabComponentResultProfileDim and LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944 tables.

LabComponentResultProfileDim: 82
LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944: 82",Rowcount validation of LabComponentResultProfileDim and LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between LabDim and LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225 tables.

LabDim: 157
LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225: 157",Rowcount validation of LabDim and LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationAdministrationFact and MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913 tables.

MedicationAdministrationFact: 17534660
MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913: 16935639",Rowcount validation of MedicationAdministrationFact and MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationAdministrationProfileDim and MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821 tables.

MedicationAdministrationProfileDim: 42942
MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821: 42942",Rowcount validation of MedicationAdministrationProfileDim and MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationDispenseNdcProfileDim and MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059 tables.

MedicationDispenseNdcProfileDim: 38625
MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059: 38625",Rowcount validation of MedicationDispenseNdcProfileDim and MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationDispenseProfileDim and MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434 tables.

MedicationDispenseProfileDim: 178
MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434: 178",Rowcount validation of MedicationDispenseProfileDim and MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationDispenseQuantityProfileDim and MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622 tables.

MedicationDispenseQuantityProfileDim: 667
MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622: 667",Rowcount validation of MedicationDispenseQuantityProfileDim and MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between MedicationOrderFact and MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137 tables.

MedicationOrderFact: 12595131
MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137: 11228611",Rowcount validation of MedicationOrderFact and MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137 tables,Fail
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationOrderIndicationForUseProfileDim and MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828 tables.

MedicationOrderIndicationForUseProfileDim: 527
MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828: 527",Rowcount validation of MedicationOrderIndicationForUseProfileDim and MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationOrderProfileDim and MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955 tables.

MedicationOrderProfileDim: 29890
MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955: 29890",Rowcount validation of MedicationOrderProfileDim and MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationOrderSourceProfileDim and MedicationOrderSourceProfileDim_CHCO_CDW_20170518103344598_19000101000000000_20170518103344598 tables.

MedicationOrderSourceProfileDim: 3738
MedicationOrderSourceProfileDim_CHCO_CDW_20170518103344598_19000101000000000_20170518103344598: 3738",Rowcount validation of MedicationOrderSourceProfileDim and MedicationOrderSourceProfileDim_CHCO_CDW_20170518103344598_19000101000000000_20170518103344598 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between MedicationOrderTypeProfileDim and MedicationOrderTypeProfileDim_CHCO_CDW_20170518103348255_19000101000000000_20170518103348255 tables.

MedicationOrderTypeProfileDim: 62
MedicationOrderTypeProfileDim_CHCO_CDW_20170518103348255_19000101000000000_20170518103348255: 62",Rowcount validation of MedicationOrderTypeProfileDim and MedicationOrderTypeProfileDim_CHCO_CDW_20170518103348255_19000101000000000_20170518103348255 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are equal between ModifierBridge and ModifierBridge_CHCO_CDW_20170518103425642_19000101000000000_20170518103425642 tables.

ModifierBridge: 184
ModifierBridge_CHCO_CDW_20170518103425642_19000101000000000_20170518103425642: 184",Rowcount validation of ModifierBridge and ModifierBridge_CHCO_CDW_20170518103425642_19000101000000000_20170518103425642 tables,Pass
21.1,2017-05-23,"Full Load:
Row counts are not equal between PatientAttributeValueDim and PatientAttributeValueDim_CHCO_CDW_20170518103436598_19000101000000000_20170518103436598 tables.

PatientAttributeValueDim: 10321895
PatientAttributeValueDim_CHCO_CDW_20170518103436598_19000101000000000_20170518103436598: 9462361",Rowcount validation of PatientAttributeValueDim and PatientAttributeValueDim_CHCO_CDW_20170518103436598_19000101000000000_20170518103436598 tables,Fail
