Build,Date,Notes,TestCase,Verdict
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingAccountProfileDim and BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084 tables.

BillingAccountProfileDim: 122
BillingAccountProfileDim_CHCO_CDW_20170517142206084_19000101000000000_20170517142206084: 122",Rowcount validation of CHCO source and GBQ target BillingAccountProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingAccountServiceProfileDim and BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318 tables.

BillingAccountServiceProfileDim: 1233
BillingAccountServiceProfileDim_CHCO_CDW_20170517142214318_19000101000000000_20170517142214318: 1233",Rowcount validation of CHCO source and GBQ target BillingAccountServiceProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingAccountStatusProfileDim and BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912 tables.

BillingAccountStatusProfileDim: 303
BillingAccountStatusProfileDim_CHCO_CDW_20170517142220912_19000101000000000_20170517142220912: 303",Rowcount validation of CHCO source and GBQ target BillingAccountStatusProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingProcedureDim and BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318 tables.

BillingProcedureDim: 145943
BillingProcedureDim_CHCO_CDW_20170517142227318_19000101000000000_20170517142227318: 145943",Rowcount validation of CHCO source and GBQ target BillingProcedureDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingProcedureSetDim and BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943 tables.

BillingProcedureSetDim: 11852
BillingProcedureSetDim_CHCO_CDW_20170517142341943_19000101000000000_20170517142341943: 11852",Rowcount validation of CHCO source and GBQ target BillingProcedureSetDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingTransactionChargeProfileDim and BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193 tables.

BillingTransactionChargeProfileDim: 155835
BillingTransactionChargeProfileDim_CHCO_CDW_20170517142352193_19000101000000000_20170517142352193: 155835",Rowcount validation of CHCO source and GBQ target BillingTransactionChargeProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between BillingTransactionProfileDim and BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365 tables.

BillingTransactionProfileDim: 2222
BillingTransactionProfileDim_CHCO_CDW_20170517142439365_19000101000000000_20170517142439365: 2222",Rowcount validation of CHCO source and GBQ target BillingTransactionProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CareAreaDim and CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803 tables.

CareAreaDim: 120
CareAreaDim_CHCO_CDW_20170517142446803_19000101000000000_20170517142446803: 120",Rowcount validation of CHCO source and GBQ target CareAreaDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CareTeamFact and CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756 tables.

CareTeamFact: 6097745
CareTeamFact_CHCO_CDW_20170517142453756_19000101000000000_20170517142453756: 6097745",Rowcount validation of CHCO source and GBQ target CareTeamFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CareTeamProfileDim and CareTeamProfileDim_CHCO_CDW_20170517145821913_19000101000000000_20170517145821913 tables.

CareTeamProfileDim: 439
CareTeamProfileDim_CHCO_CDW_20170517145821913_19000101000000000_20170517145821913: 439",Rowcount validation of CHCO source and GBQ target CareTeamProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ChiefComplaintBridge and ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366 tables.

ChiefComplaintBridge: 455103
ChiefComplaintBridge_CHCO_CDW_20170517145829366_19000101000000000_20170517145829366: 455103",Rowcount validation of CHCO source and GBQ target ChiefComplaintBridge table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ChiefComplaintDim and ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257 tables.

ChiefComplaintDim: 2884
ChiefComplaintDim_CHCO_CDW_20170517145916257_19000101000000000_20170517145916257: 2884",Rowcount validation of CHCO source and GBQ target ChiefComplaintDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ChiefComplaintSetDim and ChiefComplaintSetDim_CHCO_CDW_20170517145924648_19000101000000000_20170517145924648 tables.

ChiefComplaintSetDim: 78
ChiefComplaintSetDim_CHCO_CDW_20170517145924648_19000101000000000_20170517145924648: 78",Rowcount validation of CHCO source and GBQ target ChiefComplaintSetDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CodedProcedureFact and CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445 tables.

CodedProcedureFact: 4585029
CodedProcedureFact_CHCO_CDW_20170517145931445_19000101000000000_20170517145931445: 4585029",Rowcount validation of CHCO source and GBQ target CodedProcedureFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CodedProcedureProfileDim and CodedProcedureProfileDim_CHCO_CDW_20170517152010804_19000101000000000_20170517152010804 tables.

CodedProcedureProfileDim: 768
CodedProcedureProfileDim_CHCO_CDW_20170517152010804_19000101000000000_20170517152010804: 768",Rowcount validation of CHCO source and GBQ target CodedProcedureProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ContractBridge and ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273 tables.

ContractBridge: 4
ContractBridge_CHCO_CDW_20170517152023273_19000101000000000_20170517152023273: 4",Rowcount validation of CHCO source and GBQ target ContractBridge table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CostCenterDim and CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461 tables.

CostCenterDim: 513
CostCenterDim_CHCO_CDW_20170517152031461_19000101000000000_20170517152031461: 513",Rowcount validation of CHCO source and GBQ target CostCenterDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between CoverageDim and CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914 tables.

CoverageDim: 440384
CoverageDim_CHCO_CDW_20170517152038914_19000101000000000_20170517152038914: 440384",Rowcount validation of CHCO source and GBQ target CoverageDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DateDim and DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539 tables.

DateDim: 50267
DateDim_CHCO_CDW_20170517152744539_19000101000000000_20170517152744539: 50267",Rowcount validation of CHCO source and GBQ target DateDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DepartmentDim and DepartmentDim_CHCO_CDW_20170517152817414_19000101000000000_20170517152817414 tables.

DepartmentDim: 11979
DepartmentDim_CHCO_CDW_20170517152817414_19000101000000000_20170517152817414: 11979",Rowcount validation of CHCO source and GBQ target DepartmentDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisBridge and DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180 tables.

DiagnosisBridge: 12201850
DiagnosisBridge_CHCO_CDW_20170517152839180_19000101000000000_20170517152839180: 12201850",Rowcount validation of CHCO source and GBQ target DiagnosisBridge table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisDim and DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306 tables.

DiagnosisDim: 1388698
DiagnosisDim_CHCO_CDW_20170517155417306_19000101000000000_20170517155417306: 1388698",Rowcount validation of CHCO source and GBQ target DiagnosisDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisEventFact and DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431 tables.

DiagnosisEventFact: 23676910
DiagnosisEventFact_CHCO_CDW_20170517160052431_19000101000000000_20170517160052431: 23676910",Rowcount validation of CHCO source and GBQ target DiagnosisEventFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisProfileDim and DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564 tables.

DiagnosisProfileDim: 23
DiagnosisProfileDim_CHCO_CDW_20170517184143564_19000101000000000_20170517184143564: 23",Rowcount validation of CHCO source and GBQ target DiagnosisProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisSetDim and DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611 tables.

DiagnosisSetDim: 13837405
DiagnosisSetDim_CHCO_CDW_20170517184150611_19000101000000000_20170517184150611: 13837405",Rowcount validation of CHCO source and GBQ target DiagnosisSetDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DiagnosisTerminologyDim and DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050 tables.

DiagnosisTerminologyDim: 48720480
DiagnosisTerminologyDim_CHCO_CDW_20170517193345050_19000101000000000_20170517193345050: 48720480",Rowcount validation of CHCO source and GBQ target DiagnosisTerminologyDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DischargeProfileDim and DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776 tables.

DischargeProfileDim: 46
DischargeProfileDim_CHCO_CDW_20170517234158776_19000101000000000_20170517234158776: 46",Rowcount validation of CHCO source and GBQ target DischargeProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DrgDim and DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573 tables.

DrgDim: 14272
DrgDim_CHCO_CDW_20170517234204573_19000101000000000_20170517234204573: 14272",Rowcount validation of CHCO source and GBQ target DrgDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between DurationDim and DurationDim_CHCO_CDW_20170517234213089_19000101000000000_20170517234213089 tables.

DurationDim: 15300579
DurationDim_CHCO_CDW_20170517234213089_19000101000000000_20170517234213089: 15300579",Rowcount validation of CHCO source and GBQ target DurationDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EdVisitAttributeValueDim and EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183 tables.

EdVisitAttributeValueDim: 1019363
EdVisitAttributeValueDim_CHCO_CDW_20170518001016183_19000101000000000_20170518001016183: 1019363",Rowcount validation of CHCO source and GBQ target EdVisitAttributeValueDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EdVisitFact and EdVisitFact_CHCO_CDW_20170518001517980_19000101000000000_20170518001517980 tables.

EdVisitFact: 1525776
EdVisitFact_CHCO_CDW_20170518001517980_19000101000000000_20170518001517980: 1525776",Rowcount validation of CHCO source and GBQ target EdVisitFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EdVisitProfileDim and EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106 tables.

EdVisitProfileDim: 16787
EdVisitProfileDim_CHCO_CDW_20170518004318106_19000101000000000_20170518004318106: 16787",Rowcount validation of CHCO source and GBQ target EdVisitProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EmployeeDim and EmployeeDim_CHCO_CDW_20170518004325856_19000101000000000_20170518004325856 tables.

EmployeeDim: 41192
EmployeeDim_CHCO_CDW_20170518004325856_19000101000000000_20170518004325856: 41192",Rowcount validation of CHCO source and GBQ target EmployeeDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EncounterAttributeValueDim and EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997 tables.

EncounterAttributeValueDim: 12391954
EncounterAttributeValueDim_CHCO_CDW_20170518004340997_19000101000000000_20170518004340997: 12391954",Rowcount validation of CHCO source and GBQ target EncounterAttributeValueDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EncounterFact and EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001 tables.

EncounterFact: 25024751
EncounterFact_CHCO_CDW_20170518012547001_19000101000000000_20170518012547001: 25024751",Rowcount validation of CHCO source and GBQ target EncounterFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EncounterProfileDim and EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469 tables.

EncounterProfileDim: 275
EncounterProfileDim_CHCO_CDW_20170518030607469_19000101000000000_20170518030607469: 275",Rowcount validation of CHCO source and GBQ target EncounterProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EncounterRegistryProfileDim and EncounterRegistryProfileDim_CHCO_CDW_20170518030612188_19000101000000000_20170518030612188 tables.

EncounterRegistryProfileDim: 6
EncounterRegistryProfileDim_CHCO_CDW_20170518030612188_19000101000000000_20170518030612188: 6",Rowcount validation of CHCO source and GBQ target EncounterRegistryProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EncounterRegistryValueFact and EncounterRegistryValueFact_CHCO_CDW_20170518030615735_19000101000000000_20170518030615735 tables.

EncounterRegistryValueFact: 8679860
EncounterRegistryValueFact_CHCO_CDW_20170518030615735_19000101000000000_20170518030615735: 8679860",Rowcount validation of CHCO source and GBQ target EncounterRegistryValueFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EvsFact and EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329 tables.

EvsFact: 44873
EvsFact_CHCO_CDW_20170518032453329_19000101000000000_20170518032453329: 44873",Rowcount validation of CHCO source and GBQ target EvsFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EvsProfileDim and EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298 tables.

EvsProfileDim: 54
EvsProfileDim_CHCO_CDW_20170518032517298_19000101000000000_20170518032517298: 54",Rowcount validation of CHCO source and GBQ target EvsProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between EvsStageOneProfileDim and EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704 tables.

EvsStageOneProfileDim: 26
EvsStageOneProfileDim_CHCO_CDW_20170518032520704_19000101000000000_20170518032520704: 26",Rowcount validation of CHCO source and GBQ target EvsStageOneProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between FlowsheetRowDim and FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079 tables.

FlowsheetRowDim: 41012
FlowsheetRowDim_CHCO_CDW_20170518032524079_19000101000000000_20170518032524079: 41012",Rowcount validation of CHCO source and GBQ target FlowsheetRowDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between FlowsheetTemplateDim and FlowsheetTemplateDim_CHCO_CDW_20170518032534016_19000101000000000_20170518032534016 tables.

FlowsheetTemplateDim: 1091
FlowsheetTemplateDim_CHCO_CDW_20170518032534016_19000101000000000_20170518032534016: 1091",Rowcount validation of CHCO source and GBQ target FlowsheetTemplateDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between FlowsheetValueProfileDim and FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048 tables.

FlowsheetValueProfileDim: 4
FlowsheetValueProfileDim_CHCO_CDW_20170518032541048_19000101000000000_20170518032541048: 4",Rowcount validation of CHCO source and GBQ target FlowsheetValueProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between GuarantorDim and GuarantorDim_CHCO_CDW_20170518032544438_19000101000000000_20170518032544438 tables.

GuarantorDim: 121366
GuarantorDim_CHCO_CDW_20170518032544438_19000101000000000_20170518032544438: 121366",Rowcount validation of CHCO source and GBQ target GuarantorDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between HospitalAdmissionAttributeValueDim and HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157 tables.

HospitalAdmissionAttributeValueDim: 397202
HospitalAdmissionAttributeValueDim_CHCO_CDW_20170518032705157_19000101000000000_20170518032705157: 397202",Rowcount validation of CHCO source and GBQ target HospitalAdmissionAttributeValueDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between HospitalAdmissionFact and HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720 tables.

HospitalAdmissionFact: 181392
HospitalAdmissionFact_CHCO_CDW_20170518032810720_19000101000000000_20170518032810720: 181392",Rowcount validation of CHCO source and GBQ target HospitalAdmissionFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between HospitalAdmissionProfileDim and HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907 tables.

HospitalAdmissionProfileDim: 786
HospitalAdmissionProfileDim_CHCO_CDW_20170518032905907_19000101000000000_20170518032905907: 786",Rowcount validation of CHCO source and GBQ target HospitalAdmissionProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ImmunizationDim and ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485 tables.

ImmunizationDim: 102
ImmunizationDim_CHCO_CDW_20170518032909485_19000101000000000_20170518032909485: 102",Rowcount validation of CHCO source and GBQ target ImmunizationDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ImmunizationEventFact and ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970 tables.

ImmunizationEventFact: 569019
ImmunizationEventFact_CHCO_CDW_20170518032912970_19000101000000000_20170518032912970: 569019",Rowcount validation of CHCO source and GBQ target ImmunizationEventFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ImmunizationProfileDim and ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110 tables.

ImmunizationProfileDim: 123733
ImmunizationProfileDim_CHCO_CDW_20170518033045110_19000101000000000_20170518033045110: 123733",Rowcount validation of CHCO source and GBQ target ImmunizationProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between ImmunizationSetDim and ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907 tables.

ImmunizationSetDim: 136
ImmunizationSetDim_CHCO_CDW_20170518033058907_19000101000000000_20170518033058907: 136",Rowcount validation of CHCO source and GBQ target ImmunizationSetDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between LabComponentDim and LabComponentDim_CHCO_CDW_20170518033102517_19000101000000000_20170518033102517 tables.

LabComponentDim: 15235
LabComponentDim_CHCO_CDW_20170518033102517_19000101000000000_20170518033102517: 15235",Rowcount validation of CHCO source and GBQ target LabComponentDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between LabComponentResultFact and LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485 tables.

LabComponentResultFact: 62954543
LabComponentResultFact_CHCO_CDW_20170518033108485_19000101000000000_20170518033108485: 62954543",Rowcount validation of CHCO source and GBQ target LabComponentResultFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between LabComponentResultProfileDim and LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944 tables.

LabComponentResultProfileDim: 82
LabComponentResultProfileDim_CHCO_CDW_20170518062525944_19000101000000000_20170518062525944: 82",Rowcount validation of CHCO source and GBQ target LabComponentResultProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between LabDim and LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225 tables.

LabDim: 157
LabDim_CHCO_CDW_20170518062529225_19000101000000000_20170518062529225: 157",Rowcount validation of CHCO source and GBQ target LabDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationAdministrationFact and MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913 tables.

MedicationAdministrationFact: 16935639
MedicationAdministrationFact_CHCO_CDW_20170518062532913_19000101000000000_20170518062532913: 16935639",Rowcount validation of CHCO source and GBQ target MedicationAdministrationFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationAdministrationProfileDim and MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821 tables.

MedicationAdministrationProfileDim: 42942
MedicationAdministrationProfileDim_CHCO_CDW_20170518074325821_19000101000000000_20170518074325821: 42942",Rowcount validation of CHCO source and GBQ target MedicationAdministrationProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationCodeDim and MedicationCodeDim_CHCO_CDW_20170518074331962_19000101000000000_20170518074331962 tables.

MedicationCodeDim: 449778
MedicationCodeDim_CHCO_CDW_20170518074331962_19000101000000000_20170518074331962: 449778",Rowcount validation of CHCO source and GBQ target MedicationCodeDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationDim and MedicationDim_CHCO_CDW_20170518074417071_19000101000000000_20170518074417071 tables.

MedicationDim: 163846
MedicationDim_CHCO_CDW_20170518074417071_19000101000000000_20170518074417071: 163846",Rowcount validation of CHCO source and GBQ target MedicationDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationDispenseFact and MedicationDispenseFact_CHCO_CDW_20170518074453774_19000101000000000_20170518074453774 tables.

MedicationDispenseFact: 16663965
MedicationDispenseFact_CHCO_CDW_20170518074453774_19000101000000000_20170518074453774: 16663965",Rowcount validation of CHCO source and GBQ target MedicationDispenseFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationDispenseNdcProfileDim and MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059 tables.

MedicationDispenseNdcProfileDim: 38625
MedicationDispenseNdcProfileDim_CHCO_CDW_20170518093634059_19000101000000000_20170518093634059: 38625",Rowcount validation of CHCO source and GBQ target MedicationDispenseNdcProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationDispenseProfileDim and MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434 tables.

MedicationDispenseProfileDim: 178
MedicationDispenseProfileDim_CHCO_CDW_20170518093645434_19000101000000000_20170518093645434: 178",Rowcount validation of CHCO source and GBQ target MedicationDispenseProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationDispenseQuantityProfileDim and MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622 tables.

MedicationDispenseQuantityProfileDim: 667
MedicationDispenseQuantityProfileDim_CHCO_CDW_20170518093650622_19000101000000000_20170518093650622: 667",Rowcount validation of CHCO source and GBQ target MedicationDispenseQuantityProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationOrderFact and MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137 tables.

MedicationOrderFact: 11228611
MedicationOrderFact_CHCO_CDW_20170518093655137_19000101000000000_20170518093655137: 11228611",Rowcount validation of CHCO source and GBQ target MedicationOrderFact table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationOrderIndicationForUseProfileDim and MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828 tables.

MedicationOrderIndicationForUseProfileDim: 527
MedicationOrderIndicationForUseProfileDim_CHCO_CDW_20170518103331828_19000101000000000_20170518103331828: 527",Rowcount validation of CHCO source and GBQ target MedicationOrderIndicationForUseProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationOrderPrnReasonProfileDim and MedicationOrderPrnReasonProfileDim_CHCO_CDW_20170518103335470_19000101000000000_20170518103335470 tables.

MedicationOrderPrnReasonProfileDim: 6
MedicationOrderPrnReasonProfileDim_CHCO_CDW_20170518103335470_19000101000000000_20170518103335470: 6",Rowcount validation of CHCO source and GBQ target MedicationOrderPrnReasonProfileDim table,Pass
22.2,6/2/2017,"Full Load:
Row counts are equal between MedicationOrderProfileDim and MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955 tables.

MedicationOrderProfileDim: 29890
MedicationOrderProfileDim_CHCO_CDW_20170518103338955_19000101000000000_20170518103338955: 29890",Rowcount validation of CHCO source and GBQ target MedicationOrderProfileDim table,Pass
